,Title,Score,Score Title,Number of Reviews,Description,Nearest Metropolis,City,Hotel Brand,Type,Star
228,SENZA Hotel,8.9, Excellent ,194,"SENZA Hotel, nestled in scenic Napa Valley, features a sun deck with an outdoor pool. All rooms have French doors that open to a private patio and offer a bathrobe. ",Napa,Napa,Local,Hotel,4
229,The Westin Pasadena,8.8, Excellent ,684,"This 4-star hotel is within a 5-minute walk of the Pasadena Museum of California Art. The hotel offers an outdoor heated pool, casual on-site restaurant and a 24-hour business center. ",Los Angeles,Pasadena,Westin,Hotel,4
230,Hilton Anaheim,8.1, Very Good ,3509,"Located adjacent to the Convention Center, this hotel is within 15 minutes' walk to Disneyland and the Disney California Adventure Park. ",Los Angeles,Anaheim,Hilton,Hotel,4
231,Milliken Creek Inn & Spa,9.4, Awesome ,133,"Featuring a spa bath in all rooms, this luxury adult only hotel is nestled in Napa Valley, California. Offering Napa Valley wine tasting excursions. ",Napa,Napa,Local,Hotel,4
232,Anaheim Marriott,8.5, Very Good ,790,The Anaheim Marriott hotel is located next to Anaheim Convention Center and 15 minutes' walk away from Disneyland and Ultrastar Cinemas. It includes an on-site swimming pool and restaurant. ,Los Angeles,Anaheim,Marriott,Hotel,4
233,Four Points by Sheraton Anaheim,7.6, Good ,1100,"Just 14 minutes' walk from Disneyland and 5 minutes' drive from the Anaheim Convention Center, Four Points by Sheraton Anaheim offers comfortable guest rooms and an on-site restaurant. ",Los Angeles,Anaheim,Sheraton,Hotel,4
234,"The Oaks Hotel & Suites, an Ascend Hotel Collection Member",9.1, Awesome ,469,"Just a 10 minute drive from Paso Robles Wine Country, this hotel features a year round outdoor pool. It serves a daily hot breakfast buffet and has a restaurant on site. All rooms offer free Wi-Fi. ",San Luis Obispo,Paso Robles,Local,Hotel,4
235,Ace Hotel and Swim Club Palm Springs,8.6, Excellent ,1428,"Set in Palm Springs, California, near activities such as shopping and golfing, this unique hotel offers contemporary guestrooms with free wireless internet access, a spa and an on-site restaurant. ",Palm Springs,Palm Springs,Local,Hotel,4
236,La Bellasera Hotel & Suites,9.2, Awesome ,271,"Located in San Luis Obispo County, La Bellasera Hotel and Suites features guest rooms and suites appointed with Mediterranean furnishings. ",San Luis Obispo,Paso Robles,Local,Hotel,4
237,The Palm Springs Hotel,9.1, Awesome ,524,Lines of orange umbrellas and lounge chairs surround the pool area at this Designer Palm Springs Hotel. Palm Springs Art Museum is a 5-minute drive away. ,Palm Springs,Palm Springs,Local,Hotel,4
238,Newport Beach Marriott Hotel & Spa,8.3, Very Good ,470,"Overlooking the Pacific Ocean and Newport Country Club, this hotel offers 2 outdoor pools, a spa and fitness center. It also features a steakhouse and Starbucks Marketplace. ",Los Angeles,Newport Beach,Marriott,Hotel,4
239,Renaissance Newport Beach Hotel,8.3, Very Good ,382,"The Renaissance Newport Beach Hotel is 5 minutes' drive to John Wayne Airport.  The luxury hotel provides free airport and local area shuttle services along with tennis courts, and an outdoor pool. ",Los Angeles,Newport Beach,Renaissance,Hotel,4
240,Newport Beach Marriott Bayview,8.7, Excellent ,578,Newport Beach Bayview offers spacious suites with a private balcony and an private bathroom with luxury bathroom amenities. It features an on-site swimming pool. Disneyland is 15 mi away. ,Los Angeles,Newport Beach,Marriott,Hotel,4
241,Grand Residences by Marriott - Lake Tahoe,9.3, Awesome ,492,"Located in Heavenly Village just steps from Heavenly Resort’s ski gondola, Grand Residences by Marriott - Lake Tahoe offers spacious residences with 42-inch LCD TVs. ",Lake Tahoe,South Lake Tahoe,Marriott,Hotel,4
242,MacArthur Place Inn & Spa,9.1, Awesome ,155,"Nestled among acres of gardens and vineyards, MacArthur Place Inn & Spa is a 19th century estate offering luxurious accommodations, on-site spa services and all of the latest technologies, and is only...",Napa,Sonoma,Local,Hotel,4
243,Fairmont Sonoma Mission Inn,8.7, Excellent ,194,"Nestled in Sonoma County, the Fairmont Sonoma Mission Inn is adjacent to Napa Valley. This luxury inn offers an on-site, 18-hole championship golf course, a full-service spa, and a health club. ",Napa,Sonoma,Fairmont,Hotel,4
244,SummerWood Inn,9.6, Exceptional ,26,"Featuring SummerWood winery tasting room onsite, this modern boutique inn is within 3.1 mi of other Paso Robles wineries. ",San Luis Obispo,Paso Robles,Local,Hotel,4
245,Stanford Park Hotel,9.1, Awesome ,249,"Next to Stanford University, on the San Francisco Peninsula, this Menlo Park, California hotel offers free area shuttle service, contemporary guestrooms and an on-site restaurant. ",San Francisco,Menlo Park,Local,Hotel,4
246,Ledson Hotel & Zina Lounge,9.3, Awesome ,72,"Offering an on-site tasting room, Ledson Hotel & Zina Lounge offers furnished rooms with free WiFi. Ledson Winery and Vineyards are less than a 15 mile drive away. ",Napa,Sonoma,Local,Hotel,4
247,Park James,9.2, Awesome ,5,Park James features a bar and on-site dining in Menlo Park. This 4-star hotel offers a 24-hour front desk and a business center. ,San Francisco,Menlo Park,Local,Hotel,4
248,Berkeley City Club Hotel,8.3, Very Good ,330,"Located 5 minutes’ walk to University of California Berkeley, this historic Berkeley, California hotel is elegantly kept. An indoor swimming pool with high ceilings and big windows is featured. ",San Francisco,Berkeley,Local,Hotel,4
249,Renaissance Indian Wells Resort & Spa,8.5, Very Good ,223,"This resort features a private golf course, full-service spa and an outdoor pool. It offers daily housekeeping services. Palm Springs Aerial Tram is 20 miles away. ",Palm Springs,Indian Wells,Renaissance,Hotel,4
250,Blue Iguana Inn,9.1, Awesome ,163,"Situated in Ojai Valley, this boutique hotel is only 12 miles from Ventura Beach and the Pacific Ocean. ",Santa Barbara,Ojai,Local,Hotel,4
251,Nobu Hotel Epiphany Palo Alto,9.0, Awesome ,72,This modern hotel is conveniently located within 1640 feet’ walk of Palo Alto Caltrain Station and Stanford University. Plush bathrobes and free WiFi are provided in guest rooms. ,San Francisco,Palo Alto,Local,Hotel,4
252,"Hotel Nia, Autograph Collection",8.7, Excellent ,15,"Hotel Nia, Autograph Collection is located in Menlo Park, in the heart of Silicon Valley, home to companies such as Facebook, Google, Tesla, and Apple. This hotel offers a 24-hour front desk. ",San Francisco,Menlo Park,Autograph,Hotel,4
253,Garden Court Hotel,9.3, Awesome ,34,"Located in Central Palo Alto, Garden Court Hotel offers contemporary guest rooms with GLink iPhone and Android docking stations. A state-of-the-art fitness center is located on site. ",San Francisco,Palo Alto,Local,Hotel,4
254,"River Terrace Inn, a Noble House Hotel",8.2, Very Good ,113,"Just minutes from the center of Napa, near several Napa Valley area wineries, River Terrace Inn, a Noble House Hotel offers comfortable guestrooms with free WiFi and views of the river. ",Napa,Napa,Noble House,Hotel,4
255,Inn at Laguna Beach,8.7, Excellent ,192,"On a cliff overlooking the ocean, this Laguna Beach hotel is a 5 minute walk from Main Beach Park. A wine reception is hosted each evening. Each guest room has beach chairs and umbrellas. ",Los Angeles,Laguna Beach,Local,Hotel,4
256,Dinah's Garden Hotel,9.0, Awesome ,361,"Surrounded by lagoons filled with Koi and waterfalls, this hotel is 3.5-miles from downtown Palo Alto. All rooms have free fiber-optic Wi-Fi and a 42-inch flat-screen TV with cable. ",San Francisco,Palo Alto,Local,Hotel,4
257,Oceano Hotel and Spa Half Moon Bay Harbor,8.7, Excellent ,429,"Featuring all rooms overlooking Half Moon Bay and Pacific Ocean, this Half Moon Bay hotel is less than 5 minutes walk to Half Moon Bay Brewing Company and 10 minutes’ drive to Half Moon Bay State...",San Francisco,Half Moon Bay,Local,Hotel,4
258,Marriott Napa Valley Hotel & Spa,8.2, Very Good ,85,"This Napa hotel is within a 15-minute drive of Artesa Vineyards & Winery. The hotel offers a full-service spa, an outdoor swimming pool and 2 on-site restaurants. ",Napa,Napa,Marriott,Hotel,4
259,"Blue Lantern Inn, A Four Sisters Inn",9.2, Awesome ,70,"This bed and breakfast is located on a cliff directly above the Dana Point Yacht Harbor. The inn features views of the Pacific Ocean, free Wi-Fi and a buffet breakfast every morning. ",Los Angeles,Dana Point,Local,Hotel,4
260,Casa Laguna Hotel & Spa,9.0, Awesome ,126,"Offering an outdoor pool and a spa and wellness center, Casa Laguna Hotel & Spa is located in Laguna Beach. Free WiFi access is available. A free continental breakfast is included with each room. ",Los Angeles,Laguna Beach,Local,Hotel,4
261,Napa Vineyard Inn,9.7, Exceptional ,50,"Nestled between Napa and Yountville is this 100 year old bed and breakfast. The 1-acre property features fruit trees, an old English rose garden and herb garden. ",Napa,Napa,Local,Hotel,4
262,The Emerald Iguana Inn,9.3, Awesome ,76,"Located in Ojai in the California Region, 26 mi from Santa Barbara, this hotel features an outdoor pool and views of the garden. It offers accommodations for guests 14 years and older. ",Santa Barbara,Ojai,Local,Hotel,4
263,Mountain Home Inn,7.6, Good ,8,"Located 20 minutes’ drive north of the Golden Gate Bridge, this eco-friendly inn provides rooms that overlook Mill Valley. It offers a full-service restaurant on site. ",San Francisco,Mill Valley,Local,Hotel,4
264,Sea Mountain Nude Resort & Spa Hotel - Adults Only,8.1, Very Good ,6,"This couples only, nude only resort features an outdoor swimming pool and a spa & wellness center in Desert Hot Springs. Sea Mountain Inn is located in Desert Hot Springs. ",Palm Springs,Desert Hot Springs,Local,Hotel,4
265,Hotel Yountville,8.9, Excellent ,68,"Just a 10-minute walk from the Napa Valley Museum and Napa Valley Symphony, Hotel Yountville features an outdoor pool and a 4000-square-foot spa. ",Napa,Yountville,Local,Hotel,4
266,Bardessono Hotel and Spa,9.3, Awesome ,45,"This five-star California hotel features spacious suites with private balconies, fireplaces and sofas. ",Napa,Yountville,Local,Hotel,4
267,Poetry Inn Napa Valley,10.0, Exceptional ,14,"Located 4993 feet above the Stags Leap District of Napa Valley, Poetry Inn Napa Valley offers a seasonal outdoor pool, a sun terrace and a hot tub. ",Napa,Yountville,Local,Hotel,4
268,Crowne Plaza Hotel Ventura Beach,8.4, Very Good ,671,"Overlooking the Pacific Ocean, Crowne Plaza Hotel Ventura Beach offers a heated outdoor pool and a restaurant. You can relax on the furnished terrace complete with a fire pit and ocean views. ",Los Angeles,Ventura,Crowne Plaza,Hotel,4
269,Four Points by Sheraton Ventura Harbor Resort,8.1, Very Good ,527,This hotel features a year-round pool and rooms with free cable TV. The Four Points by Sheraton Resort is centrally located in the marinas and shopping areas of Ventura Harbor. ,Los Angeles,Ventura,Sheraton,Hotel,4
270,Inn at the Pier,9.1, Awesome ,523,"Inn at the Pier is located on the beachfront in Pismo Beach. Providing a restaurant, the property also has an outdoor swimming pool. The hotel has a hot tub and a 24-hour front desk. ",San Luis Obispo,Pismo Beach,Local,Hotel,4
271,Seven Gables Inn,9.3, Awesome ,182,"Nestled along the rocky shoreline of the Monterey Peninsula, this historic oceanfront inn provides charming accommodations, as well as personalized services and thoughtful amenities, close to popular...",Monterey,Pacific Grove,Local,Hotel,4
272,Cayucos Sunset Inn,9.5, Exceptional ,180,"This charming inn overlooks the Pacific Ocean and is 3 blocks from Cayucos State Beach. It features spa services, a full breakfast, and features elegant rooms with a 2-person hot tub. ",San Luis Obispo,Cayucos,Local,Hotel,4
273,Hyatt Regency Santa Clara,8.6, Excellent ,647,"This hotel is next to the Santa Clara Convention Center and across the street from California's Great American Theme Park. The hotel offers an outdoor pool, 24-hour gym and on-site restaurant. ",San Francisco,Santa Clara,Hyatt,Hotel,4
274,Hilton Santa Clara,8.8, Excellent ,733,"Located adjacent to California's Great America theme park, Hilton Santa Clara offers free WiFi in all guestrooms. Levi's Stadium, home of the San Francisco 49ers, is 5 minutes' walk away. ",San Francisco,Santa Clara,Hilton,Hotel,4
275,Crowne Plaza Hotel Foster City-San Mateo,8.4, Very Good ,170,"This Foster City hotel is off Highway 92 and one mile from San Francisco Bay. The property features an airport shuttle, 3 restaurants and an indoor swimming pool on-site. ",San Francisco,Foster City,Crowne Plaza,Hotel,4
276,The Murieta Inn and Spa,9.2, Awesome ,72,"Featuring a fitness center and a restaurant, The Murieta Inn and Spa is located in Rancho Murieta. Featuring a garden, this 4-star hotel has air-conditioned rooms with a private bathroom. ",San Francisco,Rancho Murieta,Local,Hotel,4
277,Grand Hotel,9.0, Awesome ,510,"Located next to Sunnyvale Civic Center, Grand Hotel offers a year-round outdoor heated pool and hot tub. Free WiFi is included in all guest rooms. San Jose International Airport is 9.9 mi away. ",San Francisco,Sunnyvale,Local,Hotel,4
278,Gaige House + Ryokan,9.3, Awesome ,124,This hotel is located in California’s Sonoma and Napa Valley wine countries. Free Wi-Fi is in every room and a full-service spa is available at this Glen Ellen hotel. ,Napa,Glen Ellen,Local,Hotel,4
279,"Juniper Hotel Cupertino, Curio Collection by Hilton",8.7, Excellent ,199,"Located in the heart of Silicon Valley and less than a mile from Apple headquarters, Juniper Hotel Cupertino, Curio Collection by Hilton is a boutique hotel. ",San Francisco,Cupertino,Hilton,Hotel,4
280,Embassy Suites Santa Clara - Silicon Valley,8.2, Very Good ,257,This Silicon Valley hotel offers comfortable rooms and studio suites with free WiFi. Guests can enjoy a free cooked-to-order breakfast each day and a restaurant is located on site. ,San Francisco,Santa Clara,Embassy,Hotel,4
281,Hotel Corque,9.2, Awesome ,1461,"Located 5 minutes’ walk away from Old Mission Santa Ines, this boutique hotel offers a restaurant on site. It features an outdoor pool and hot tub and spacious room with free WiFi. ",Santa Barbara,Solvang,Local,Hotel,4
282,Best Western Plus Big America,8.6, Excellent ,836,"Located 20 miles from Foxen Canyon Wine Trail in Santa Maria, this California hotel offers on-site dining. The comfortably furnished accommodations include free WiFi. ",Santa Barbara,Santa Maria,Best Western,Hotel,4
283,H2hotel,9.2, Awesome ,166,"This LEED-certified hotel is in downtown Healdsburg, just a block from the Healdsburg Town Plaza. It has a variety of earth-friendly features, including a solar-heated creekside pool. ",Napa,Healdsburg,Local,Hotel,4
284,Santa Clara Marriott,8.2, Very Good ,271,"Santa Clara Marriott, 1 mi from Great America Theme Park, features an outdoor pool, hot tub and gym. Rooms offer flat-screen TVs with HBO film channels and pay-per-view movies. ",San Francisco,Santa Clara,Marriott,Hotel,4
285,Embassy Suites Los Angeles Glendale,8.5, Very Good ,457,"Located in the heart of downtown Glendale, Embassy Suites offers suites with a separate living room and a wet bar with a microwave. Facilities include an outdoor pool and a gym. ",Los Angeles,Glendale,Embassy,Hotel,4
286,Four Seasons Hotel Westlake Village,9.1, Awesome ,107,"Featuring an outdoor pool with poolside dinning, this luxury resort is 15 mi from Zuma Beach and the ocean views of Pacific Coast Highway. ",Los Angeles,Westlake Village,Four Seasons,Hotel,4
287,Holiday Inn San Jose-Silicon Valley,7.9, Good ,434,"Holiday Inn San Jose - Silicon Valley offers convenient access to the I-880, I-280 and US-101 highways. ",San Francisco,San Jose,Holiday,Hotel,4
288,Hilton Los Angeles North-Glendale & Executive Meeting Center,7.9, Good ,436,"Moments from Los Angeles city center and Hollywood, this elegant hotel, located in an upscale neighborhood, features an on-site pool. ",Los Angeles,Glendale,Hilton,Hotel,4
289,Hayes Mansion,8.7, Excellent ,610,"Set on several acres of beautiful landscape in San Jose, California, this historic hotel offers luxurious accommodations and is just 15 minutes’ drive from downtown San Jose. ",San Francisco,San Jose,Local,Hotel,4
290,Hotel Healdsburg,9.1, Awesome ,96,"This modern hotel features a complimentary breakfast buffet, a 60-foot garden pool, and a hot tub. It's in downtown Healdsburg, California, with more than 100 Sonoma County wineries within 10 miles. ",Napa,Healdsburg,Local,Hotel,4
291,Kronborg Inn,8.2, Very Good ,1175,This European boutique hotel is located in The Santa Ynez Valley. It offers an outdoor pool and hot tub. The center of the Danish town of Solvang is 2 minutes' drive away. ,Santa Barbara,Solvang,Local,Hotel,4
292,Vintners Inn,9.1, Awesome ,451,"Located in Sonoma wine country, Vintners Inn is a luxury hotel located on a vineyard trail. ",Napa,Santa Rosa,Local,Hotel,4
293,DoubleTree by Hilton San Jose,7.7, Good ,569,"Just a 3-minute drive away from San Jose International Airport and featuring free airport shuttle service, this completely non-smoking, green hotel offers spacious contemporary rooms that feature...",San Francisco,San Jose,Hilton,Hotel,4
294,Pavilion Hotel,9.3, Awesome ,744,"Located on Catalina Island, this beachside hotel features landscaped tropical gardens and a lounge with cabana seats and fire pits. ",Los Angeles,Avalon,Local,Hotel,4
295,Crowne Plaza Costa Mesa Orange County,8.3, Very Good ,655,"Offering an outdoor pool and hot tub, Crowne Plaza Costa Mesa Orange County offers comfortable guest rooms with free WiFi. Guests can dine at the on-site restaurant. ",Los Angeles,Costa Mesa,Crowne Plaza,Hotel,4
296,The Landsby,8.9, Excellent ,365,"Located in the heart of Solvang, this boutique California hotel offers free WiFi. Rooms are inspired by Scandinavian design. ",Santa Barbara,Solvang,Local,Hotel,4
297,Hyatt House San Ramon,9.1, Awesome ,277,"Offering a hot tub and fitness center, Hyatt House San Ramon is located in San Ramon in the California Region, 24 mi from San Francisco. ",San Francisco,San Ramon,Hyatt,Hotel,4
298,Santa Ynez Inn,9.5, Exceptional ,131,"In the beautiful wine country of Santa Ynez, California, this Victorian hotel offers a gourmet breakfast and spa services. All guest rooms feature a luxurious spa bathtub. ",Santa Barbara,Santa Ynez,Local,Hotel,4
299,Hyatt Regency Long Beach,8.7, Excellent ,1341,"Located 1 minutes’ walk from Long Beach Convention Center, this hotel features an outdoor pool and a 24-hour reception. Guests can also enjoy the on-site restaurant. ",Los Angeles,Long Beach,Hyatt,Hotel,4
300,Hyatt Place Riverside Downtown,8.7, Excellent ,366,"Located in Riverside in the Inland Empire region of Southern California, Hyatt Place Riverside Downtown offers an outdoor swimming pool and contemporary rooms with free WiFi. ",Riverside,Riverside,Hyatt,Hotel,4
301,Lafayette Park Hotel & Spa,9.1, Awesome ,212,"Located 30 minutes' drive from San Francisco, Lafayette Park Hotel & Spa features a full-service spa and outdoor heated swimming pool. ",San Francisco,Lafayette,Local,Hotel,4
302,The Belamar,8.5, Very Good ,389,This modern hotel features an outdoor pool and rooms with an iPod docking station. This Manhattan Beach hotel is within a 5-minute drive of the Pacific Ocean and downtown. ,Los Angeles,Manhattan Beach,Local,Hotel,4
303,Crowne Plaza Concord - Walnut Creek,7.7, Good ,689,"Located in Concord, California, a short drive outside of San Francisco, Crowne Plaza Concord - Walnut Creek offers easy access to attractions along with an on-site restaurant and free local area...",San Francisco,Concord,Crowne Plaza,Hotel,4
304,Vintage House,8.9, Excellent ,217,"Located in Yountville on a 22-acre estate, Vintage House is a French country-style hotel,and features a swimming pool and a spa. Guests can enjoy a complimentary breakfast buffet at the property. ",Napa,Yountville,Local,Hotel,4
305,Tradewinds Carmel,8.8, Excellent ,265,"This boutique hotel in Carmel is less than two blocks away from unique shopping, galleries and fine dining and Ocean Avenue, the main street, is just 3 blocks away. ",Monterey,Carmel,Local,Hotel,4
306,Hilton Concord,8.2, Very Good ,444,"Less than 1 mile from Waterworld California, the Hilton Concord features free shuttles within a 3-mile radius, a heated outdoor pool and hot tub. The rooms include cable TV with HBO movie channels. ",San Francisco,Concord,Hilton,Hotel,4
307,"The Portofino Hotel & Marina, a Noble House Hotel",8.4, Very Good ,831,"Surrounded by the tranquil natural environment of Redondo Beach, California, and only a short drive from the action of Los Angeles, this waterfront hotel offers accommodations in an unrivaled...",Los Angeles,Redondo Beach,Noble House,Hotel,4
308,The Westin South Coast Plaza,8.7, Excellent ,263,"Disneyland is less than 20 minutes’ drive from this hotel, while Knotts Berry Farm is 25 minutes’ drive away. An outdoor pool, a sun terrace, and lighted tennis courts are available for guests. ",Los Angeles,Costa Mesa,Westin,Hotel,4
309,"Gaia Hotel, an Ascend Hotel Collection Member Anderson",8.7, Excellent ,137,"Conveniently located off Interstate 5, the Gaia Hotel, an Ascend Hotel Collection Member in Anderson, CA is adjacent to the Sacramento River, offering easy access to Shasta Outlets and Mt. ",Redding,Anderson,Local,Hotel,4
310,"Gaia Hotel, an Ascend Hotel Collection Member Anderson",8.7, Excellent ,137,"Conveniently located off Interstate 5, the Gaia Hotel, an Ascend Hotel Collection Member in Anderson, CA is adjacent to the Sacramento River, offering easy access to Shasta Outlets and Mt. ",Redding,Anderson,Local,Hotel,4
311,Hyatt Regency San Francisco Airport,8.5, Very Good ,1695,"Located in Burlingame, Hyatt Regency San Francisco Airport is 100% nonsmoking and is 15 mi from San Francisco. ",San Francisco,Burlingame,Hyatt,Hotel,4
312,Crowne Plaza San Jose-Silicon Valley,8.5, Very Good ,254,Crowne Plaza San Jose-Silicon Valley offers an on-site restaurant as well as on-site car hire services. Levi's Stadium is 4.3 mi away. ,San Francisco,Milpitas,Crowne Plaza,Hotel,4
313,Hyatt Centric the Pike Long Beach,8.6, Excellent ,335,"Centrally located in Long Beach, the Hyatt Centric the Pike Long Beach offers free WiFi in all guest rooms. A year-round heated outdoor rooftop pool & bar is available for guest relaxation. ",Los Angeles,Long Beach,Hyatt,Hotel,4
314,The Westin Long Beach,8.3, Very Good ,408,"Located across from the Terrace Theater, Performing Arts Center and Convention Center, this Long Beach hotel offers modern guest rooms with plush bathrobes and slippers. ",Los Angeles,Long Beach,Westin,Hotel,4
315,Crowne Plaza Redondo Beach and Marina,8.7, Excellent ,541,"Featuring a recreational deck with ocean views, Crowne Plaza Redondo Beach and Marina is only a short drive from Los Angeles International Airport. ",Los Angeles,Redondo Beach,Crowne Plaza,Hotel,4
316,"Westdrift Manhattan Beach, Autograph Collection by Marriott",8.7, Excellent ,94,"Just 1 mile from the Pacific Ocean, Westdrift Manhattan Beach, Autograph Collection offers elegant accommodations surrounded by a green Golf Club where guests can play. ",Los Angeles,Manhattan Beach,Marriott,Hotel,4
317,Hotel Villagio,8.6, Excellent ,175,"Hotel Villagio is located in the heart of Napa Valley’s Yountville. Featuring an outdoor pool and complimentary daily breakfast buffet, this Yountville resort offers guest rooms with free WiFi. ",Napa,Yountville,Local,Hotel,4
318,Kimpton Hotel Wilshire,8.1, Very Good ,245,This modern Los Angeles hotel offers rooms with a flat-screen cable TV. A rooftop pool and a furnished sun terrace are available for guest relaxation. ,Los Angeles,Los Angeles,Kimpton,Hotel,4
319,Hilton San Francisco Airport Bayfront,8.0, Very Good ,874,"Overlooking San Francisco Bay and a 10-minute drive from San Francisco International Airport, this hotel features free airport shuttles, an on-site restaurant and modern in-room amenities. ",San Francisco,Burlingame,Hilton,Hotel,4
320,Renaissance Long Beach Hotel,8.4, Very Good ,327,"Boasting a rooftop pool with a hot tub and a well equipped gym, The Renaissance Hotel offers accommodations in downtown Long Beach. An on-site restaurant is also available. ",Los Angeles,Long Beach,Renaissance,Hotel,4
321,Hotel Maya - a DoubleTree by Hilton Hotel,8.1, Very Good ,319,"This Long Beach, California hotel is located on the waterfront, next to the Carnival Cruise Line and Queen Mary terminals. The hotel offers free Wi-Fi and an on-site restaurant. ",Los Angeles,Long Beach,Hilton,Hotel,4
322,DoubleTree by Hilton Los Angeles Norwalk,8.3, Very Good ,230,"Doubletree Hotel Los Angeles Norwalk, 6 miles from Knott’s Berry Farm Amusement Park, offers an outdoor pool, hot tub and gym. Rooms provide 32-inch flat-screen TVs with cable and video games. ",Los Angeles,Norwalk,Hilton,Hotel,4
323,DoubleTree by Hilton Los Angeles Norwalk,8.3, Very Good ,230,"Doubletree Hotel Los Angeles Norwalk, 6 miles from Knott’s Berry Farm Amusement Park, offers an outdoor pool, hot tub and gym. Rooms provide 32-inch flat-screen TVs with cable and video games. ",Los Angeles,Norwalk,Hilton,Hotel,4
324,The Westin San Francisco Airport,8.3, Very Good ,1387,"Located 1 mi from San Francisco International Airport and a BART (Bay Area Rapid Transit) public transport station, this Millbrae hotel offers free, 24-hour airport transfers and an on-site...",San Francisco,Millbrae,Westin,Hotel,4
325,San Francisco Airport Marriott Waterfront,8.3, Very Good ,738,"This Burlingame hotel is located on San Francisco Bay, just 6 minutes from San Francisco International Airport. The hotel features an indoor pool and hot tub and offers a free airport shuttle service....",San Francisco,Burlingame,Marriott,Hotel,4
326,Westin Sacramento,8.9, Excellent ,177,"Located 2 miles from Sacramento city center, this hotel offers a year-round outdoor heated pool and hot tub, on-site dining and a 24-hour gym. All guest rooms include a 42-inch flat-screen TV. ",Sacramento,Sacramento,Westin,Hotel,4
327,Best Western California City Inn & Suites,8.4, Very Good ,154,"Located next to Tierra Del Sol Golf course, this California City hotel features a year round outdoor pool and hot tub.  It serves a daily continental breakfast.  All rooms have free Wi-Fi. ",Bakersfield,California City,Best Western,Hotel,4
328,Renaissance ClubSport Aliso Viejo Laguna Beach Hotel,8.9, Excellent ,133,"This hotel boasts first-class sporting facilities including indoor and outdoor pools and a 12,000-square-foot fitness hall. It is 6 miles from Laguna Beach and provides free Wi-Fi throughout the...",Los Angeles,Aliso Viejo,Renaissance,Hotel,4
329,Hilton Garden Inn San Luis Obispo/Pismo Beach,8.4, Very Good ,368,This California hotel is 10 minutes' walk to Pismo Beach Premium Outlets and 10 minutes' drive from Pismo State Beach. A restaurant and heated outdoor pool are featured onsite. ,San Luis Obispo,Pismo Beach,Hilton,Hotel,4
330,Timber Cove Resort,9.1, Awesome ,200,"Located on a cliff along the Sonoma Coast, Timber Cove Resort overlooks the Pacific Ocean. This elegant hotel offers spacious rooms and fine dining. ",Napa,Jenner,Local,Hotel,4
331,Hillcrest Lodge,9.4, Awesome ,207,"Located less than 5 minutes’ walk from Alpine Slide at Magic Mountain, this Big Bear Lake nonsmoking hotel features guest rooms with free Wi-Fi and flat-screen TVs with DVD players. ",Palm Springs,Big Bear Lake,Local,Hotel,4
332,Cupertino Hotel,8.7, Excellent ,755,"Located within 5 minutes' drive of Silicon Valley and Apple Headquarters, Cupertino Hotel features rooms with iPod docking stations and free WiFi. ",San Francisco,Cupertino,Local,Hotel,4
333,The Domain Hotel,8.3, Very Good ,277,"With a great location near many of Silicon Valley's corporate headquarters and the airport, this hotel in Sunnyvale, California features comfortable rooms with ample work spaces and relaxing...",San Francisco,Sunnyvale,Local,Hotel,4
334,Pier View Suites,8.7, Excellent ,99,"Pier View Suites is a beach-side boutique hotel in the small beach town of Cayucos, located halfway between Los Angeles and San Francisco. This hotel offers spacious bungalow-style accommodations. ",San Luis Obispo,Cayucos,Local,Hotel,4
335,Harmon Guest House,9.3, Awesome ,32,"Located in Healdsburg, a 2-minute walk from Healdsburg Plaza, Harmon Guest House provides air-conditioned rooms with free WiFi. The property has free bikes, as well as an outdoor swimming pool. ",Napa,Healdsburg,Local,Hotel,4
336,Monarch Cove Inn,9.1, Awesome ,333,"Located adjacent to the New Brighton State Beach path, Monarch Cove Inn is perched on a 100 foot cliff overlooking Monterey Bay. Free WiFi and breakfast is provided with each elegant room. ",San Francisco,Capitola,Local,Hotel,4
337,The Anza – a Calabasas Hotel,8.3, Very Good ,371,"Located off of Highway 101, this hotel is 12 miles from Malibu beaches. It features an outdoor pool and all rooms have free Wi-Fi. ",Los Angeles,Calabasas,Local,Hotel,4
338,Westlake Village Inn,9.2, Awesome ,296,"Featuring an on-site restaurant, winery and bar, this boutique hotel is located on 17 acres in Westlake Village and includes a free continental breakfast Monday - Friday. ",Los Angeles,Westlake Village,Local,Hotel,4
339,Hotel Irvine,8.5, Very Good ,764,"Hotel Irvine Resort Hotel features a free airport shuttle from John Wayne Airport, 2 mi away. Free WiFi is available throughout the property. ",Los Angeles,Irvine,Local,Hotel,4
340,Inn at Depot Hill,9.3, Awesome ,98,"Just a 10 minute walk from Capitola Beach and Wharf, this luxurious B&B offers an evening wine reception complete with appetizers. A full breakfast is served daily. All rooms have free Wi-Fi. ",San Francisco,Capitola,Local,Hotel,4
341,Brewery Gulch Inn,9.3, Awesome ,29,"Located 1 mile from Mendocino Village, this inn features redwood design throughout. It serves a cooked-to-order breakfast. All rooms feature free Wi-Fi. ",Mendocino,Mendocino,Local,Hotel,4
342,The Mission Inn Hotel and Spa,9.0, Awesome ,628,"Located in Riverside, 17 mi from Ontario, The Mission Inn Hotel and Spa features a year-round outdoor pool and spa center. ",Riverside,Riverside,Local,Hotel,4
